 Id G C R silaba Spearman_log Spearman_log_smooth Pearson_log_smooth Spearman_all Spearman_smooth_all
56 56,0 24000,0 4,052847345693511e-07 18000,0 3,576958281393942e+148 0,8288042281554251 0,8692707058322272 0,8654044760588812 0,886635261107449 0,9722344975028792
57 57,0 24000,0 4,052847345693511e-07 19000,0 3,576958281393942e+148 0,8280523120316097 0,8683723227576209 0,8648799119732957 0,8861499943357618 0,9718048590867036
58 58,0 24000,0 4,052847345693511e-07 20000,0 3,576958281393942e+148 0,8270244486157005 0,8677611017394252 0,8639413090276841 0,8855240153221915 0,9714511655657833
59 59,0 24000,0 4,052847345693511e-07 21000,0 3,576958281393942e+148 0,8266877527344881 0,8673916018590538 0,8630317066287395 0,8849270127615416 0,9710585759584378
60 60,0 24000,0 4,052847345693511e-07 22000,0 3,576958281393942e+148 0,8258029982740979 0,8668005642277705 0,8620124770749927 0,8843453950377044 0,9707059796840994
61 61,0 24000,0 4,052847345693511e-07 23000,0 3,576958281393942e+148 0,8248360653786858 0,8661489255670106 0,8609892385615414 0,8837511623778008 0,9703755688959712
62 62,0 24000,0 4,052847345693511e-07 24000,0 3,576958281393942e+148 0,8243194853587187 0,8655974115291777 0,8599709695109741 0,8831860556523388 0,9700321488709669
63 63,0 24000,0 4,052847345693511e-07 25000,0 3,576958281393942e+148 0,824045968518234 0,8650702273847142 0,8585118093001435 0,8826723946134363 0,9695866724322604
64 64,0 24000,0 4,052847345693511e-07 26000,0 3,576958281393942e+148 0,8230463143663982 0,8643449026078015 0,8576279385499884 0,8821950842907382 0,9691839591082638
65 65,0 24000,0 4,052847345693511e-07 27000,0 3,576958281393942e+148 0,8222478802557381 0,8635885612494685 0,8565112441972065 0,8817333796693196 0,9687725086605037
66 66,0 24000,0 4,052847345693511e-07 28000,0 3,576958281393942e+148 0,8215913306691827 0,8632639647910966 0,8555963443396022 0,88126450278076 0,968357969582759
67 67,0 24000,0 4,052847345693511e-07 29000,0 3,576958281393942e+148 0,8210153981870634 0,8627062491058887 0,8545106466489416 0,8807920655357523 0,9679792129982439
68 68,0 24000,0 4,052847345693511e-07 30000,0 3,576958281393942e+148 0,8203845381565037 0,8620905496247435 0,8533250385238554 0,8803424281231966 0,9676090119868686
69 69,0 24000,0 4,052847345693511e-07 31000,0 3,576958281393942e+148 0,8200228979173766 0,8614177475052727 0,8524639819067753 0,879893995820451 0,9672598924069732
70 70,0 24000,0 4,052847345693511e-07 32000,0 3,576958281393942e+148 0,819679166022288 0,8609175433401633 0,8515279004579822 0,8794509253714556 0,9668950437349214
71 71,0 24000,0 4,052847345693511e-07 33000,0 3,576958281393942e+148 0,8194177729009976 0,8603858997122019 0,8507003919561007 0,8789955454270469 0,9664912354337252
