 Id G C R silaba Spearman_log Spearman_all Spearman_smooth_all
202 5 24000 550000000 7000 4 0,819 0,800 0,919
203 5 24000 550000000 7000 6 0,844 0,800 0,919
204 5 24000 550000000 7000 8 0,851 0,800 0,919
205 5 24000 550000000 7000 10 0,594 0,800 0,919
206 5 24000 550000000 7000 12 0,703 0,800 0,919
207 5 24000 550000000 7000 14 0,793 0,800 0,919
208 5 24000 550000000 7000 16 0,705 0,800 0,919
209 5 24000 550000000 7000 18 0,812 0,800 0,919
210 5 24000 550000000 7000 20 0,563 0,800 0,919
211 5 24000 550000000 7000 22 0,783 0,800 0,919
212 5 24000 550000000 7000 24 0,820 0,800 0,919
213 5 24000 550000000 7000 26 0,741 0,800 0,919
214 5 24000 550000000 7000 28 0,830 0,800 0,919
215 5 24000 550000000 7000 30 0,862 0,800 0,919
216 5 24000 550000000 7000 32 0,808 0,800 0,919
217 5 24000 550000000 7000 34 0,847 0,800 0,919
218 5 24000 550000000 7000 36 0,868 0,800 0,919
219 5 24000 550000000 7000 38 0,875 0,800 0,919
220 5 24000 550000000 7000 40 0,874 0,800 0,919
221 5 24000 550000000 7000 42 0,967 0,800 0,919
222 5 24000 550000000 7000 44 0,929 0,800 0,919
223 5 24000 550000000 7000 46 0,680 0,800 0,919
224 5 24000 550000000 7000 48 0,782 0,800 0,919
225 5 24000 550000000 7000 50 0,751 0,800 0,919
226 5 24000 550000000 7000 52 0,733 0,800 0,919
227 5 24000 550000000 7000 54 0,861 0,800 0,919
228 5 24000 550000000 7000 56 0,805 0,800 0,919
229 5 24000 550000000 7000 58 0,764 0,800 0,919
230 5 24000 550000000 7000 60 0,798 0,800 0,919
231 5 24000 550000000 7000 62 0,646 0,800 0,919
232 5 24000 550000000 7000 64 0,767 0,800 0,919
233 5 24000 550000000 7000 66 0,836 0,800 0,919
234 5 24000 550000000 7000 68 0,795 0,800 0,919
235 5 24000 550000000 7000 70 0,715 0,800 0,919
236 5 24000 550000000 7000 72 0,726 0,800 0,919
237 5 24000 550000000 7000 74 0,826 0,800 0,919
238 5 24000 550000000 7000 76 0,816 0,800 0,919
239 5 24000 550000000 7000 78 0,863 0,800 0,919
240 6 24000 550000000 7500 0 0,683 0,799 0,917
241 6 24000 550000000 7500 2 0,811 0,799 0,917
242 6 24000 550000000 7500 4 0,823 0,799 0,917
243 6 24000 550000000 7500 6 0,848 0,799 0,917
244 6 24000 550000000 7500 8 0,849 0,799 0,917
245 6 24000 550000000 7500 10 0,583 0,799 0,917
246 6 24000 550000000 7500 12 0,707 0,799 0,917
247 6 24000 550000000 7500 14 0,773 0,799 0,917
248 6 24000 550000000 7500 16 0,714 0,799 0,917
249 6 24000 550000000 7500 18 0,802 0,799 0,917
250 6 24000 550000000 7500 20 0,568 0,799 0,917
251 6 24000 550000000 7500 22 0,776 0,799 0,917
252 6 24000 550000000 7500 24 0,822 0,799 0,917
253 6 24000 550000000 7500 26 0,790 0,799 0,917
254 6 24000 550000000 7500 28 0,831 0,799 0,917
255 6 24000 550000000 7500 30 0,864 0,799 0,917
256 6 24000 550000000 7500 32 0,816 0,799 0,917
257 6 24000 550000000 7500 34 0,850 0,799 0,917
258 6 24000 550000000 7500 36 0,864 0,799 0,917
259 6 24000 550000000 7500 38 0,873 0,799 0,917
260 6 24000 550000000 7500 40 0,878 0,799 0,917
261 6 24000 550000000 7500 42 0,968 0,799 0,917
262 6 24000 550000000 7500 44 0,930 0,799 0,917
263 6 24000 550000000 7500 46 0,686 0,799 0,917
264 6 24000 550000000 7500 48 0,782 0,799 0,917
265 6 24000 550000000 7500 50 0,770 0,799 0,917
266 6 24000 550000000 7500 52 0,738 0,799 0,917
267 6 24000 550000000 7500 54 0,866 0,799 0,917
268 6 24000 550000000 7500 56 0,812 0,799 0,917
269 6 24000 550000000 7500 58 0,771 0,799 0,917
270 6 24000 550000000 7500 60 0,790 0,799 0,917
271 6 24000 550000000 7500 62 0,643 0,799 0,917
272 6 24000 550000000 7500 64 0,765 0,799 0,917
273 6 24000 550000000 7500 66 0,832 0,799 0,917
274 6 24000 550000000 7500 68 0,794 0,799 0,917
275 6 24000 550000000 7500 70 0,711 0,799 0,917
276 6 24000 550000000 7500 72 0,725 0,799 0,917
277 6 24000 550000000 7500 74 0,825 0,799 0,917
278 6 24000 550000000 7500 76 0,816 0,799 0,917
279 6 24000 550000000 7500 78 0,858 0,799 0,917
280 7 24000 550000000 8000 0 0,679 0,799 0,915
281 7 24000 550000000 8000 2 0,804 0,799 0,915
282 7 24000 550000000 8000 4 0,823 0,799 0,915
283 7 24000 550000000 8000 6 0,881 0,799 0,915
284 7 24000 550000000 8000 8 0,849 0,799 0,915
285 7 24000 550000000 8000 10 0,586 0,799 0,915
286 7 24000 550000000 8000 12 0,703 0,799 0,915
287 7 24000 550000000 8000 14 0,782 0,799 0,915
288 7 24000 550000000 8000 16 0,713 0,799 0,915
289 7 24000 550000000 8000 18 0,813 0,799 0,915
290 7 24000 550000000 8000 20 0,570 0,799 0,915
291 7 24000 550000000 8000 22 0,780 0,799 0,915
292 7 24000 550000000 8000 24 0,822 0,799 0,915
293 7 24000 550000000 8000 26 0,817 0,799 0,915
294 7 24000 550000000 8000 28 0,830 0,799 0,915
295 7 24000 550000000 8000 30 0,862 0,799 0,915
296 7 24000 550000000 8000 32 0,821 0,799 0,915
297 7 24000 550000000 8000 34 0,848 0,799 0,915
298 7 24000 550000000 8000 36 0,865 0,799 0,915
299 7 24000 550000000 8000 38 0,871 0,799 0,915
300 7 24000 550000000 8000 40 0,880 0,799 0,915
301 7 24000 550000000 8000 42 0,968 0,799 0,915
302 7 24000 550000000 8000 44 0,931 0,799 0,915
303 7 24000 550000000 8000 46 0,693 0,799 0,915
304 7 24000 550000000 8000 48 0,783 0,799 0,915
305 7 24000 550000000 8000 50 0,776 0,799 0,915
306 7 24000 550000000 8000 52 0,738 0,799 0,915
307 7 24000 550000000 8000 54 0,863 0,799 0,915
308 7 24000 550000000 8000 56 0,814 0,799 0,915
309 7 24000 550000000 8000 58 0,776 0,799 0,915
310 7 24000 550000000 8000 60 0,788 0,799 0,915
311 7 24000 550000000 8000 62 0,643 0,799 0,915
312 7 24000 550000000 8000 64 0,763 0,799 0,915
313 7 24000 550000000 8000 66 0,826 0,799 0,915
314 7 24000 550000000 8000 68 0,793 0,799 0,915
315 7 24000 550000000 8000 70 0,709 0,799 0,915
316 7 24000 550000000 8000 72 0,721 0,799 0,915
317 7 24000 550000000 8000 74 0,824 0,799 0,915
318 7 24000 550000000 8000 76 0,816 0,799 0,915
319 7 24000 550000000 8000 78 0,861 0,799 0,915
320 8 24000 550000000 8500 0 0,685 0,798 0,913
321 8 24000 550000000 8500 2 0,801 0,798 0,913
322 8 24000 550000000 8500 4 0,827 0,798 0,913
323 8 24000 550000000 8500 6 0,881 0,798 0,913
324 8 24000 550000000 8500 8 0,847 0,798 0,913
325 8 24000 550000000 8500 10 0,572 0,798 0,913
326 8 24000 550000000 8500 12 0,697 0,798 0,913
327 8 24000 550000000 8500 14 0,783 0,798 0,913
328 8 24000 550000000 8500 16 0,708 0,798 0,913
329 8 24000 550000000 8500 18 0,811 0,798 0,913
330 8 24000 550000000 8500 20 0,582 0,798 0,913
331 8 24000 550000000 8500 22 0,778 0,798 0,913
332 8 24000 550000000 8500 24 0,820 0,798 0,913
333 8 24000 550000000 8500 26 0,841 0,798 0,913
334 8 24000 550000000 8500 28 0,831 0,798 0,913
335 8 24000 550000000 8500 30 0,855 0,798 0,913
336 8 24000 550000000 8500 32 0,821 0,798 0,913
337 8 24000 550000000 8500 34 0,847 0,798 0,913
338 8 24000 550000000 8500 36 0,865 0,798 0,913
339 8 24000 550000000 8500 38 0,870 0,798 0,913
340 8 24000 550000000 8500 40 0,886 0,798 0,913
341 8 24000 550000000 8500 42 0,969 0,798 0,913
342 8 24000 550000000 8500 44 0,932 0,798 0,913
343 8 24000 550000000 8500 46 0,700 0,798 0,913
344 8 24000 550000000 8500 48 0,785 0,798 0,913
345 8 24000 550000000 8500 50 0,776 0,798 0,913
346 8 24000 550000000 8500 52 0,738 0,798 0,913
347 8 24000 550000000 8500 54 0,861 0,798 0,913
348 8 24000 550000000 8500 56 0,815 0,798 0,913
349 8 24000 550000000 8500 58 0,777 0,798 0,913
350 8 24000 550000000 8500 60 0,792 0,798 0,913
351 8 24000 550000000 8500 62 0,641 0,798 0,913
352 8 24000 550000000 8500 64 0,761 0,798 0,913
353 8 24000 550000000 8500 66 0,820 0,798 0,913
354 8 24000 550000000 8500 68 0,791 0,798 0,913
355 8 24000 550000000 8500 70 0,712 0,798 0,913
356 8 24000 550000000 8500 72 0,719 0,798 0,913
357 8 24000 550000000 8500 74 0,823 0,798 0,913
358 8 24000 550000000 8500 76 0,815 0,798 0,913
359 8 24000 550000000 8500 78 0,858 0,798 0,913
